Rule,Head Coverage,Std Confidence,PCA Confidence,Positive Examples,Body size,PCA Body size,Functional variable,Instances,Rules_with_labels,Instances_with_labels,Variable_types
?f  448  ?b  ?a  448  ?f   => ?a  448  ?b,0.717366731,1.0,1.0,79962,79962,79962,?a,44327944 448 114604 44327944 448 114604 => 44327944 448 114604,?f /biology/gene_ontology_group_membership_evidence/evidence_type ?b ?a /biology/gene_ontology_group_membership_evidence/evidence_type ?f => ?a /biology/gene_ontology_group_membership_evidence/evidence_type ?b,Inferred from Electronic Annotation /biology/gene_ontology_group_membership_evidence/evidence_type Inferred from Electronic Annotation Inferred from Electronic Annotation /biology/gene_ontology_group_membership_evidence/evidence_type Inferred from Electronic Annotation => Inferred from Electronic Annotation /biology/gene_ontology_group_membership_evidence/evidence_type Inferred from Electronic Annotation,"{'?f': ""['/biology/gene_group_membership_evidence', '/biology/gene_ontology_group_membership_evidence_type', '/biology/gene_ontology_group_membership_evidence']"", '?b': ""['/biology/gene_group_membership_evidence', '/biology/gene_ontology_group_membership_evidence_type', '/biology/gene_ontology_group_membership_evidence']"", '?a': ""['/biology/gene_ontology_group_membership_evidence', '/biology/gene_group_membership_evidence']""}"
?a  109  ?f  ?f  2066  ?b   => ?a  2066  ?b,0.908108108,0.99408284,1.0,168,169,168,?a,18091036 109 18091036 19979667 2066 19026441 => 19979667 2066 19026441,?a /education/educational_institution/campuses ?f ?f /education/honorary_degree/institution-/education/honorary_degree/degree ?b => ?a /education/honorary_degree/institution-/education/honorary_degree/degree ?b,The Art Institute of Seattle /education/educational_institution/campuses The Art Institute of Seattle California Institute of the Arts /education/honorary_degree/institution-/education/honorary_degree/degree Doctor of Letters => California Institute of the Arts /education/honorary_degree/institution-/education/honorary_degree/degree Doctor of Letters,"{'?a': ""['/education/educational_institution_campus', '/film/film_screening_venue', '/film/production_company', '/organization/organization', '/organization/non_profit_organization', '/education/educational_institution', '/business/employer', '/organization/endowed_organization', '/business/business_operation', '/education/university', '/film/film_location', '/location/location']"", '?f': ""['/education/educational_institution_campus', '/film/film_screening_venue', '/film/production_company', '/organization/organization', '/organization/non_profit_organization', '/education/educational_institution', '/business/employer', '/organization/endowed_organization', '/business/business_operation', '/education/university', '/film/film_location', '/location/location']"", '?b': ""['/education/educational_degree']""}"
?a  109  ?f  ?f  2613  ?b   => ?a  2613  ?b,0.931952663,0.996309963,1.0,1890,1897,1890,?a,18091036 109 18091036 8951356 2613 335957 => 8951356 2613 335957,?a /education/educational_institution/campuses ?f ?f /organization/endowed_organization/endowment-/measurement_unit/dated_money_value/currency ?b => ?a /organization/endowed_organization/endowment-/measurement_unit/dated_money_value/currency ?b,The Art Institute of Seattle /education/educational_institution/campuses The Art Institute of Seattle Marshalltown Community College /organization/endowed_organization/endowment-/measurement_unit/dated_money_value/currency United States Dollar => Marshalltown Community College /organization/endowed_organization/endowment-/measurement_unit/dated_money_value/currency United States Dollar,"{'?a': ""['/location/location', '/education/university', '/organization/endowed_organization', '/business/employer', '/organization/organization', '/education/educational_institution', '/education/educational_institution_campus']"", '?f': ""['/location/location', '/education/university', '/organization/endowed_organization', '/business/employer', '/organization/organization', '/education/educational_institution', '/education/educational_institution_campus']"", '?b': ""['/finance/currency']""}"
?a  1421  ?f  ?f  435  ?b   => ?a  1422  ?b,1.0,1.0,1.0,862,862,862,?b,333820 1421 11981376 4021779 435 114679 => 107200 1422 3108405,?a /biology/chromosome/locus ?f ?f /biology/genomic_locus/band ?b => ?a /biology/chromosome/band ?b,Escherichia coli str. K-12 substr. MG1655 /biology/chromosome/locus b2995 19 + [40811819\40820426] /biology/genomic_locus/band Human Cytogenetic Band 19q13.12 => Chromosome 14 (human) /biology/chromosome/band Human Cytogenetic Band 14q31.3,"{'?a': ""['/biology/chromosome']"", '?f': ""['/biology/genomic_locus']"", '?b': ""['/biology/cytogenetic_band']""}"
?a  1917  ?b  ?a  2689  ?b   => ?a  2188  ?b,0.87654321,0.993006993,1.0,142,143,142,?b,20512896 1917 39518482 2637469 2689 41879674 => 653371 2188 42174665,?a /sports/sports_team_roster/team-/sports/sports_team_roster/player ?b ?a /american_football/player_passing_statistics/team-/american_football/football_player/passing ?b => ?a /american_football/game_passing_statistics/team-/american_football/game_passing_statistics/player ?b,Ħamrun Spartans F.C. /sports/sports_team_roster/team-/sports/sports_team_roster/player Ryan Fenech Detroit Lions /american_football/player_passing_statistics/team-/american_football/football_player/passing Drew Stanton => Kansas City Chiefs /american_football/game_passing_statistics/team-/american_football/game_passing_statistics/player Brodie Croyle,"{'?a': ""['/film/person_or_entity_appearing_in_film', '/award/award_nominee', '/american_football/football_team', '/sports/professional_sports_team', '/organization/organization', '/sports/sports_team', '/award/award_winner']"", '?b': ""['/people/person', '/sports/pro_athlete', '/people/measured_person', '/tv/tv_actor', '/american_football/football_player']""}"
?a  2027  ?f  ?b  2029  ?f   => ?a  2028  ?b,1.0,1.0,1.0,101,101,101,?a,53762 2027 40809141 20233 2029 7736504 => 3759150 2028 6551,?a /sports/competitor_country_relationship/sports-/sports/competitor_country_relationship/competitor ?f ?b /sports/competitor_country_relationship/country-/sports/competitor_country_relationship/competitor ?f => ?a /sports/competitor_country_relationship/sports-/sports/competitor_country_relationship/country ?b,Swimming /sports/competitor_country_relationship/sports-/sports/competitor_country_relationship/competitor Ben Treffers 20233 /sports/competitor_country_relationship/country-/sports/competitor_country_relationship/competitor 7736504 => Badminton /sports/competitor_country_relationship/sports-/sports/competitor_country_relationship/country Czech Republic,"{'?a': ""['/sports/sport', '/olympics/olympic_sport']"", '?f': ""['/sports/tournament_event_competitor', '/people/person', '/sports/pro_athlete', '/people/measured_person']"", '?b': ""['/olympics/olympic_participating_country', '/media_common/netflix_genre', '/business/employer', '/location/dated_location', '/book/book_subject', '/organization/organization_founder', '/sports/sports_team_location', '/business/sponsor', '/business/business_location', '/biology/breed_origin', '/symbols/flag_referent', '/government/governmental_jurisdiction', '/location/administrative_division', '/location/country', '/location/location', '/sports/sport_country', '/location/statistical_region', '/travel/travel_destination', '/organization/organization_scope', '/organization/organization_member', '/food/beer_country_region']""}"
?a  2027  ?f  ?b  2033  ?f   => ?a  2028  ?b,0.524752475,1.0,1.0,53,53,53,?a,53762 2027 40809141 24412 2033 37514051 => 3759150 2028 6551,?a /sports/competitor_country_relationship/sports-/sports/competitor_country_relationship/competitor ?f ?b /sports/competitor_competition_relationship/country-/sports/competitor_competition_relationship/competitors ?f => ?a /sports/competitor_country_relationship/sports-/sports/competitor_country_relationship/country ?b,Swimming /sports/competitor_country_relationship/sports-/sports/competitor_country_relationship/competitor Ben Treffers Scotland /sports/competitor_competition_relationship/country-/sports/competitor_competition_relationship/competitors 37514051 => Badminton /sports/competitor_country_relationship/sports-/sports/competitor_country_relationship/country Czech Republic,"{'?a': ""['/sports/sport', '/olympics/olympic_sport']"", '?f': ""['/sports/tournament_event_competitor', '/people/person', '/sports/pro_athlete', '/people/measured_person']"", '?b': ""['/olympics/olympic_participating_country', '/media_common/netflix_genre', '/business/employer', '/location/dated_location', '/book/book_subject', '/organization/organization_founder', '/sports/sports_team_location', '/business/sponsor', '/business/business_location', '/biology/breed_origin', '/symbols/flag_referent', '/government/governmental_jurisdiction', '/location/administrative_division', '/location/country', '/location/location', '/sports/sport_country', '/location/statistical_region', '/travel/travel_destination', '/organization/organization_scope', '/organization/organization_member', '/food/beer_country_region']""}"
?a  2031  ?f  ?b  2033  ?f   => ?a  2032  ?b,1.0,1.0,1.0,120,120,120,?b,44440972 2031 40307391 343 2033 17545504 => 44440972 2032 991,?a /sports/competitor_competition_relationship/medal-/sports/competitor_competition_relationship/competitors ?f ?b /sports/competitor_competition_relationship/country-/sports/competitor_competition_relationship/competitors ?f => ?a /sports/competitor_competition_relationship/medal-/sports/competitor_competition_relationship/country ?b,Gold medal /sports/competitor_competition_relationship/medal-/sports/competitor_competition_relationship/competitors Kristian Thomas 343 /sports/competitor_competition_relationship/country-/sports/competitor_competition_relationship/competitors 17545504 => Gold medal /sports/competitor_competition_relationship/medal-/sports/competitor_competition_relationship/country Switzerland,"{'?a': ""['/sports/sport_medal', '/olympics/olympic_medal_demonstration', '/sports/sports_award_type', '/olympics/olympic_medal']"", '?f': ""['/olympics/olympic_athlete', '/sports/pro_athlete', '/sports/tournament_event_competitor', '/people/person', '/people/measured_person']"", '?b': ""['/education/school_category', '/food/beer_country_region', '/location/dated_location', '/biology/breed_origin', '/location/location', '/fictional_universe/fictional_setting', '/organization/organization_founder', '/periodicals/newspaper_circulation_area', '/travel/travel_destination', '/location/country', '/symbols/name_source', '/government/governmental_jurisdiction', '/sports/sport_country', '/film/film_location', '/olympics/olympic_participating_country', '/organization/organization_scope', '/symbols/flag_referent', '/law/court_jurisdiction_area', '/sports/sports_team_location', '/location/statistical_region', '/organization/organization_member', '/book/book_subject']""}"
?a  2118  ?f  ?f  2518  ?b   => ?a  2129  ?b,0.580246914,1.0,1.0,94,94,94,?a,1742337 2118 440 9 2518 40996108 => 666499 2129 44440972,?a /olympics/olympic_athlete_affiliation/olympics-/olympics/olympic_athlete_affiliation/country ?f ?f /olympics/olympic_participating_country/demonstration_medals_won-/olympics/olympic_medal_demonstration/medal_winners ?b => ?a /olympics/olympic_medal_honor/olympics-/olympics/olympic_medal_honor/medal ?b,The London 2012 Summer Olympics /olympics/olympic_athlete_affiliation/olympics-/olympics/olympic_athlete_affiliation/country Italy 9 /olympics/olympic_participating_country/demonstration_medals_won-/olympics/olympic_medal_demonstration/medal_winners Bronze medal => 1900 Summer Olympics /olympics/olympic_medal_honor/olympics-/olympics/olympic_medal_honor/medal Gold medal,"{'?a': ""['/book/book_subject', '/olympics/olympic_games', '/time/event']"", '?f': ""['/periodicals/newspaper_circulation_area', '/organization/organization_member', '/location/dated_location', '/military/military_combatant', '/law/court_jurisdiction_area', '/location/country', '/sports/sports_team_location', '/sports/sport_country', '/exhibitions/exhibition_subject', '/organization/organization_scope', '/symbols/name_source', '/symbols/flag_referent', '/government/governmental_jurisdiction', '/location/administrative_division', '/travel/travel_destination', '/organization/organization_founder', '/meteorology/forecast_zone', '/fictional_universe/fictional_setting', '/location/region', '/media_common/netflix_genre', '/location/statistical_region', '/book/book_subject', '/olympics/olympic_participating_country', '/film/film_location', '/exhibitions/exhibition_venue', '/biology/breed_origin', '/business/business_location', '/food/beer_country_region', '/business/employer', '/location/location']"", '?b': ""['/sports/sport_medal', '/olympics/olympic_medal_demonstration', '/sports/sports_award_type', '/olympics/olympic_medal']""}"
?a  2127  ?f  ?f  2518  ?b   => ?a  2129  ?b,0.697530864,1.0,1.0,113,113,113,?a,1742346 2127 18 9 2518 40996108 => 666499 2129 44440972,?a /olympics/olympic_medal_honor/olympics-/olympics/olympic_medal_honor/country ?f ?f /olympics/olympic_participating_country/demonstration_medals_won-/olympics/olympic_medal_demonstration/medal_winners ?b => ?a /olympics/olympic_medal_honor/olympics-/olympics/olympic_medal_honor/medal ?b,1952 Summer Olympics /olympics/olympic_medal_honor/olympics-/olympics/olympic_medal_honor/country Germany 9 /olympics/olympic_participating_country/demonstration_medals_won-/olympics/olympic_medal_demonstration/medal_winners Bronze medal => 1900 Summer Olympics /olympics/olympic_medal_honor/olympics-/olympics/olympic_medal_honor/medal Gold medal,"{'?a': ""['/book/book_subject', '/olympics/olympic_games', '/time/event']"", '?f': ""['/periodicals/newspaper_circulation_area', '/film/film_location', '/organization/organization_member', '/business/business_location', '/symbols/name_source', '/location/dated_location', '/military/military_combatant', '/religion/religious_leadership_jurisdiction', '/military/military_post', '/organization/organization_scope', '/organization/contact_category', '/symbols/flag_referent', '/government/governmental_jurisdiction', '/organization/organization_founder', '/travel/travel_destination', '/location/administrative_division', '/cvg/computer_game_region', '/fictional_universe/fictional_setting', '/location/country', '/food/beer_country_region', '/government/political_district', '/media_common/netflix_genre', '/sports/sport_country', '/location/statistical_region', '/exhibitions/exhibition_venue', '/sports/sports_team_location', '/broadcast/tv_station_owner', '/olympics/olympic_participating_country', '/biology/breed_origin', '/business/employer', '/book/book_subject', '/location/location']"", '?b': ""['/sports/sport_medal', '/olympics/olympic_medal_demonstration', '/sports/sports_award_type', '/olympics/olympic_medal']""}"
?a  2173  ?f  ?f  2849  ?b   => ?a  2834  ?b,0.531855956,1.0,1.0,192,192,192,?a,44495546 2173 45051357 45527642 2849 45957269 => 746365 2834 38911180,?a /event/speech_or_presentation/speaker_s-/event/speech_or_presentation/presented_work ?f ?f /event/speech_or_presentation/presented_work-/event/public_speaking_event/speech_presentation_discussion ?b => ?a /event/speech_or_presentation/speaker_s-/event/public_speaking_event/speech_presentation_discussion ?b,Dan Mosher /event/speech_or_presentation/speaker_s-/event/speech_or_presentation/presented_work http://www.beet.tv/2015/02/br15brightrollmosher.html 45527642 /event/speech_or_presentation/presented_work-/event/public_speaking_event/speech_presentation_discussion 45957269 => Gerard Jones /event/speech_or_presentation/speaker_s-/event/public_speaking_event/speech_presentation_discussion New York Comic-Con 2010,"{'?a': ""['/influence/influence_node', '/event/public_speaker', '/people/person', '/book/author', '/fictional_universe/fictional_character_creator', '/film/person_or_entity_appearing_in_film']"", '?f': ""['/event/presented_work', '/book/written_work']"", '?b': ""['/conferences/conference', '/event/public_speaking_event', '/time/event']""}"
?a  2174  ?f  ?b  2176  ?f   => ?a  2175  ?b,0.76,1.0,1.0,76,76,76,?b,44707792 2174 9319755 44927703 2176 44927704 => 43979893 2175 45855169,?a /event/speech_or_presentation/type_or_format_of_presentation-/event/speech_or_presentation/presented_work ?f ?b /event/speech_or_presentation/speech_topic-/event/speech_or_presentation/presented_work ?f => ?a /event/speech_or_presentation/type_or_format_of_presentation-/event/speech_or_presentation/speech_topic ?b,Farewell speech /event/speech_or_presentation/type_or_format_of_presentation-/event/speech_or_presentation/presented_work Military–industrial complex 44927703 /event/speech_or_presentation/speech_topic-/event/speech_or_presentation/presented_work 44927704 => Summit /event/speech_or_presentation/type_or_format_of_presentation-/event/speech_or_presentation/speech_topic 5 'W's of Mobile Measurement,"{'?a': ""['/event/type_of_public_presentation', '/conferences/type_of_conference']"", '?f': ""['/event/presented_work', '/book/written_work', '/book/book_subject', '/film/film_subject']"", '?b': ""['/event/speech_topic']""}"
?a  2176  ?f  ?f  2849  ?b   => ?a  2850  ?b,0.641791045,1.0,1.0,86,86,86,?a,44185369 2176 45204171 45527642 2849 45957269 => 45725924 2850 44418370,?a /event/speech_or_presentation/speech_topic-/event/speech_or_presentation/presented_work ?f ?f /event/speech_or_presentation/presented_work-/event/public_speaking_event/speech_presentation_discussion ?b => ?a /event/speech_or_presentation/speech_topic-/event/public_speaking_event/speech_presentation_discussion ?b,Flashrom /event/speech_or_presentation/speech_topic-/event/speech_or_presentation/presented_work Run your BIOS/EFI/firmware updates under any free OS 45527642 /event/speech_or_presentation/presented_work-/event/public_speaking_event/speech_presentation_discussion 45957269 => MediaMosa /event/speech_or_presentation/speech_topic-/event/public_speaking_event/speech_presentation_discussion FOSDEM 2011,"{'?a': ""['/event/speech_topic']"", '?f': ""['/event/presented_work', '/book/written_work']"", '?b': ""['/time/event', '/conferences/conference', '/event/public_speaking_event']""}"
?a  2183  ?e  ?e  2201  ?b   => ?a  2183  ?b,0.999215686,1.0,1.0,2548,2548,2548,?a,485630 2183 7383637 15174855 2201 15174855 => 485630 2183 7383637,?a /baseball/batting_statistics/team-/baseball/batting_statistics/season ?e ?e /baseball/lifetime_batting_statistics/last_statistics_season-/baseball/lifetime_batting_statistics/ending_season ?b => ?a /baseball/batting_statistics/team-/baseball/batting_statistics/season ?b,San Francisco Giants /baseball/batting_statistics/team-/baseball/batting_statistics/season 1981 Major League Baseball Season 2003 Major League Baseball season /baseball/lifetime_batting_statistics/last_statistics_season-/baseball/lifetime_batting_statistics/ending_season 2003 Major League Baseball season => San Francisco Giants /baseball/batting_statistics/team-/baseball/batting_statistics/season 1981 Major League Baseball Season,"{'?a': ""['/baseball/baseball_team', '/sports/sports_team', '/award/award_nominee', '/organization/organization', '/business/employer', '/sports/professional_sports_team']"", '?e': ""['/sports/sports_league_season', '/book/book_subject', '/time/event']"", '?b': ""['/book/book_subject', '/sports/sports_league_season', '/time/event']""}"
?a  2183  ?f  ?b  2201  ?f   => ?a  2183  ?b,0.999215686,1.0,1.0,2548,2548,2548,?a,485630 2183 7383637 15174855 2201 15174855 => 485630 2183 7383637,?a /baseball/batting_statistics/team-/baseball/batting_statistics/season ?f ?b /baseball/lifetime_batting_statistics/last_statistics_season-/baseball/lifetime_batting_statistics/ending_season ?f => ?a /baseball/batting_statistics/team-/baseball/batting_statistics/season ?b,San Francisco Giants /baseball/batting_statistics/team-/baseball/batting_statistics/season 1981 Major League Baseball Season 2003 Major League Baseball season /baseball/lifetime_batting_statistics/last_statistics_season-/baseball/lifetime_batting_statistics/ending_season 2003 Major League Baseball season => San Francisco Giants /baseball/batting_statistics/team-/baseball/batting_statistics/season 1981 Major League Baseball Season,"{'?a': ""['/baseball/baseball_team', '/sports/sports_team', '/award/award_nominee', '/organization/organization', '/business/employer', '/sports/professional_sports_team']"", '?f': ""['/sports/sports_league_season', '/book/book_subject', '/time/event']"", '?b': ""['/book/book_subject', '/sports/sports_league_season', '/time/event']""}"
?a  2187  ?b   => ?a  2680  ?b,0.997826087,0.993506494,1.0,459,462,459,?b,4957038 2187 15090037 => 2718265 2680 15087185,?a /american_football/game_rushing_statistics/team-/american_football/game_rushing_statistics/player ?b => ?a /american_football/player_rushing_statistics/team-/american_football/football_player/rushing ?b,Cincinnati Bengals /american_football/game_rushing_statistics/team-/american_football/game_rushing_statistics/player Cedric Benson => New York Jets /american_football/player_rushing_statistics/team-/american_football/football_player/rushing David Clowney,"{'?a': ""['/award/award_nominee', '/sports/sports_team', '/tv/tv_actor', '/organization/organization', '/sports/professional_sports_team', '/award/award_winner', '/american_football/football_team', '/business/employer']"", '?b': ""['/people/person', '/internet/social_network_user', '/people/measured_person', '/sports/pro_athlete', '/american_football/football_player']""}"
?a  2188  ?b   => ?a  2689  ?b,0.987804878,1.0,1.0,162,162,162,?b,653371 2188 42174665 => 2637469 2689 41879674,?a /american_football/game_passing_statistics/team-/american_football/game_passing_statistics/player ?b => ?a /american_football/player_passing_statistics/team-/american_football/football_player/passing ?b,Kansas City Chiefs /american_football/game_passing_statistics/team-/american_football/game_passing_statistics/player Brodie Croyle => Detroit Lions /american_football/player_passing_statistics/team-/american_football/football_player/passing Drew Stanton,"{'?a': ""['/sports/professional_sports_team', '/american_football/football_team', '/organization/organization', '/film/person_or_entity_appearing_in_film', '/sports/sports_team', '/book/book_subject', '/business/employer']"", '?b': ""['/sports/pro_athlete', '/people/person', '/american_football/football_player', '/people/measured_person']""}"
?a  2197  ?f  ?b  2199  ?f   => ?a  2198  ?b,1.0,0.999411072,1.0,1697,1698,1697,?b,19226481 2197 31441145 2712352 2199 31441145 => 19226481 2198 2215646,?a /tv/video/video_type-/tv/video/service ?f ?b /tv/video/video_of-/tv/video/service ?f => ?a /tv/video/video_type-/tv/video/video_of ?b,Full content /tv/video/video_type-/tv/video/service Hulu 2712352 /tv/video/video_of-/tv/video/service Hulu => Full content /tv/video/video_type-/tv/video/video_of The Message,"{'?a': ""['/tv/video_type']"", '?f': ""['/tv/tv_network', '/internet/website_owner', '/business/business_operation', '/tv/video_host', '/award/award_nominee', '/tv/tv_program_creator', '/organization/organization', '/business/asset', '/award/award_winner']"", '?b': ""['/tv/tv_series_episode']""}"
?a  2201  ?e  ?e  2206  ?b   => ?a  2206  ?b,0.999941438,1.0,1.0,17075,17075,17075,?b,15174855 2201 15174855 20505228 2206 32371995 => 20505228 2206 32371995,?a /baseball/lifetime_batting_statistics/last_statistics_season-/baseball/lifetime_batting_statistics/ending_season ?e ?e /baseball/lifetime_batting_statistics/starting_season-/baseball/lifetime_batting_statistics/player ?b => ?a /baseball/lifetime_batting_statistics/starting_season-/baseball/lifetime_batting_statistics/player ?b,2003 Major League Baseball season /baseball/lifetime_batting_statistics/last_statistics_season-/baseball/lifetime_batting_statistics/ending_season 2003 Major League Baseball season 1996 Major League Baseball Season /baseball/lifetime_batting_statistics/starting_season-/baseball/lifetime_batting_statistics/player Edgar Rentería => 1996 Major League Baseball Season /baseball/lifetime_batting_statistics/starting_season-/baseball/lifetime_batting_statistics/player Edgar Rentería,"{'?a': ""['/book/book_subject', '/time/event', '/sports/sports_league_season']"", '?e': ""['/book/book_subject', '/time/event', '/sports/sports_league_season']"", '?b': ""['/sports/pro_athlete', '/people/measured_person', '/tv/tv_actor', '/sports/sports_award_winner', '/people/person', '/baseball/baseball_player']""}"
?a  2201  ?f  ?b  2201  ?f   => ?a  2201  ?b,1.0,1.0,1.0,134,134,134,?a,15174855 2201 15174855 15174855 2201 15174855 => 15174855 2201 15174855,?a /baseball/lifetime_batting_statistics/last_statistics_season-/baseball/lifetime_batting_statistics/ending_season ?f ?b /baseball/lifetime_batting_statistics/last_statistics_season-/baseball/lifetime_batting_statistics/ending_season ?f => ?a /baseball/lifetime_batting_statistics/last_statistics_season-/baseball/lifetime_batting_statistics/ending_season ?b,2003 Major League Baseball season /baseball/lifetime_batting_statistics/last_statistics_season-/baseball/lifetime_batting_statistics/ending_season 2003 Major League Baseball season 2003 Major League Baseball season /baseball/lifetime_batting_statistics/last_statistics_season-/baseball/lifetime_batting_statistics/ending_season 2003 Major League Baseball season => 2003 Major League Baseball season /baseball/lifetime_batting_statistics/last_statistics_season-/baseball/lifetime_batting_statistics/ending_season 2003 Major League Baseball season,"{'?a': ""['/sports/sports_league_season', '/book/book_subject', '/time/event']"", '?f': ""['/sports/sports_league_season', '/book/book_subject', '/time/event']"", '?b': ""['/sports/sports_league_season', '/book/book_subject', '/time/event']""}"
?a  2201  ?f  ?f  2204  ?b   => ?a  2204  ?b,1.0,1.0,1.0,2235,2235,2235,?b,15174855 2201 15174855 40755268 2204 40755268 => 40755268 2204 40755268,?a /baseball/lifetime_batting_statistics/last_statistics_season-/baseball/lifetime_batting_statistics/ending_season ?f ?f /baseball/lifetime_batting_statistics/starting_season-/baseball/lifetime_batting_statistics/ending_season ?b => ?a /baseball/lifetime_batting_statistics/starting_season-/baseball/lifetime_batting_statistics/ending_season ?b,2003 Major League Baseball season /baseball/lifetime_batting_statistics/last_statistics_season-/baseball/lifetime_batting_statistics/ending_season 2003 Major League Baseball season 1971 Major League Baseball Season /baseball/lifetime_batting_statistics/starting_season-/baseball/lifetime_batting_statistics/ending_season 1971 Major League Baseball Season => 1971 Major League Baseball Season /baseball/lifetime_batting_statistics/starting_season-/baseball/lifetime_batting_statistics/ending_season 1971 Major League Baseball Season,"{'?a': ""['/sports/sports_league_season', '/book/book_subject', '/time/event']"", '?f': ""['/sports/sports_league_season', '/book/book_subject', '/time/event']"", '?b': ""['/sports/sports_league_season', '/book/book_subject', '/time/event']""}"
?a  2201  ?f  ?f  2204  ?b   => ?a  2205  ?b,0.98937583,1.0,1.0,2235,2235,2235,?a,15174855 2201 15174855 40755268 2204 40755268 => 21320085 2205 10071456,?a /baseball/lifetime_batting_statistics/last_statistics_season-/baseball/lifetime_batting_statistics/ending_season ?f ?f /baseball/lifetime_batting_statistics/starting_season-/baseball/lifetime_batting_statistics/ending_season ?b => ?a /baseball/lifetime_batting_statistics/starting_season-/baseball/lifetime_batting_statistics/last_statistics_season ?b,2003 Major League Baseball season /baseball/lifetime_batting_statistics/last_statistics_season-/baseball/lifetime_batting_statistics/ending_season 2003 Major League Baseball season 1971 Major League Baseball Season /baseball/lifetime_batting_statistics/starting_season-/baseball/lifetime_batting_statistics/ending_season 1971 Major League Baseball Season => 1999 Major League Baseball Season /baseball/lifetime_batting_statistics/starting_season-/baseball/lifetime_batting_statistics/last_statistics_season 2009 Major League Baseball season,"{'?a': ""['/time/event', '/book/book_subject', '/sports/sports_league_season']"", '?f': ""['/sports/sports_league_season', '/book/book_subject', '/time/event']"", '?b': ""['/sports/sports_league_season', '/time/event']""}"
?a  2201  ?f  ?f  2205  ?b   => ?a  2205  ?b,1.0,1.0,1.0,2259,2259,2259,?a,15174855 2201 15174855 21320085 2205 10071456 => 21320085 2205 10071456,?a /baseball/lifetime_batting_statistics/last_statistics_season-/baseball/lifetime_batting_statistics/ending_season ?f ?f /baseball/lifetime_batting_statistics/starting_season-/baseball/lifetime_batting_statistics/last_statistics_season ?b => ?a /baseball/lifetime_batting_statistics/starting_season-/baseball/lifetime_batting_statistics/last_statistics_season ?b,2003 Major League Baseball season /baseball/lifetime_batting_statistics/last_statistics_season-/baseball/lifetime_batting_statistics/ending_season 2003 Major League Baseball season 1999 Major League Baseball Season /baseball/lifetime_batting_statistics/starting_season-/baseball/lifetime_batting_statistics/last_statistics_season 2009 Major League Baseball season => 1999 Major League Baseball Season /baseball/lifetime_batting_statistics/starting_season-/baseball/lifetime_batting_statistics/last_statistics_season 2009 Major League Baseball season,"{'?a': ""['/time/event', '/book/book_subject', '/sports/sports_league_season']"", '?f': ""['/time/event', '/book/book_subject', '/sports/sports_league_season']"", '?b': ""['/sports/sports_league_season', '/time/event']""}"
?a  2201  ?f  ?f  2603  ?b   => ?a  2603  ?b,0.999988098,1.0,1.0,84018,84018,84018,?b,15174855 2201 15174855 16130571 2603 37096390 => 16130571 2603 37096390,?a /baseball/lifetime_batting_statistics/last_statistics_season-/baseball/lifetime_batting_statistics/ending_season ?f ?f /baseball/batting_statistics/season-/baseball/baseball_player/batting_stats ?b => ?a /baseball/batting_statistics/season-/baseball/baseball_player/batting_stats ?b,2003 Major League Baseball season /baseball/lifetime_batting_statistics/last_statistics_season-/baseball/lifetime_batting_statistics/ending_season 2003 Major League Baseball season 2007 Major League Baseball season /baseball/batting_statistics/season-/baseball/baseball_player/batting_stats Ty Wigginton => 2007 Major League Baseball season /baseball/batting_statistics/season-/baseball/baseball_player/batting_stats Ty Wigginton,"{'?a': ""['/time/event', '/sports/sports_league_season', '/book/book_subject']"", '?f': ""['/time/event', '/sports/sports_league_season', '/book/book_subject']"", '?b': ""['/sports/pro_athlete', '/people/measured_person', '/baseball/baseball_player', '/people/person']""}"
?a  2201  ?f  ?f  2678  ?b   => ?a  2678  ?b,0.999215686,1.0,1.0,2548,2548,2548,?a,15174855 2201 15174855 30120943 2678 13253978 => 30120943 2678 13253978,?a /baseball/lifetime_batting_statistics/last_statistics_season-/baseball/lifetime_batting_statistics/ending_season ?f ?f /baseball/baseball_team_stats/season-/baseball/baseball_team/team_stats ?b => ?a /baseball/baseball_team_stats/season-/baseball/baseball_team/team_stats ?b,2003 Major League Baseball season /baseball/lifetime_batting_statistics/last_statistics_season-/baseball/lifetime_batting_statistics/ending_season 2003 Major League Baseball season 1925 Major League Baseball season /baseball/baseball_team_stats/season-/baseball/baseball_team/team_stats Detroit Tigers => 1925 Major League Baseball season /baseball/baseball_team_stats/season-/baseball/baseball_team/team_stats Detroit Tigers,"{'?a': ""['/time/event', '/sports/sports_league_season', '/book/book_subject']"", '?f': ""['/time/event', '/sports/sports_league_season', '/book/book_subject']"", '?b': ""['/sports/sports_team', '/baseball/baseball_team', '/sports/professional_sports_team', '/tv/tv_program_guest', '/award/award_nominee', '/business/employer']""}"
