Rule,Head Coverage,Std Confidence,PCA Confidence,Positive Examples,Body size,PCA Body size,Functional variable,Instances,Rules_with_labels,Instances_with_labels,Variable_types
?a  2239  ?f  ?b  762  ?f   => ?a  2238  ?b,0.814232746,1.0,1.0,19325,19325,19325,?b,72493147 2239 50988645 53460318 762 82411657 => 22224572 2238 35883355,?a /biology/chromosome/band ?f ?b /biology/genomic_locus/band ?f => ?a /biology/chromosome/locus ?b,Chromosome 11 (human) /biology/chromosome/band Human Cytogenetic Band 11p14.2 X - [151669058\151670754] /biology/genomic_locus/band Human Cytogenetic Band Xq28 => Chromosome 17 (human) /biology/chromosome/locus 17 + [38250134\38256249],"{'?a': ""['/biology/chromosome']"", '?f': ""['/biology/cytogenetic_band']"", '?b': ""['/biology/genomic_locus']""}"
?e  1030  ?b  ?e  617  ?a   => ?a  1030  ?b,0.61,0.953125,0.995918367,244,256,245,?a,2300522 1030 2300521 38428552 617 38428552 => 2300522 1030 2300521,?e /medicine/drug/route_of_administration ?b ?e /medicine/drug/active_moieties ?a => ?a /medicine/drug/route_of_administration ?b,Nepafenac /medicine/drug/route_of_administration Eye drop 38428552 /medicine/drug/active_moieties 38428552 => Nepafenac /medicine/drug/route_of_administration Eye drop,"{'?e': ""['/medicine/medical_treatment', '/chemistry/chemical_compound', '/medicine/drug', '/medicine/drug_ingredient']"", '?b': ""['/medicine/medical_treatment']"", '?a': ""['/medicine/medical_treatment', '/chemistry/chemical_compound', '/medicine/drug', '/medicine/drug_ingredient']""}"
?e  286  ?b  ?a  608  ?e   => ?a  608  ?b,0.22714387,1.0,1.0,1282,1282,1282,?b,28727806 286 28727806 41190409 608 97264417 => 41190409 608 97264417,?e /location/hud_county_place/place ?b ?a /geography/river/cities ?e => ?a /geography/river/cities ?b,Douglassville /location/hud_county_place/place Douglassville Metedeconk River /geography/river/cities Freehold Township => Metedeconk River /geography/river/cities Freehold Township,"{'?e': ""['/location/location', '/location/citytown', '/location/hud_county_place', '/location/dated_location', '/location/statistical_region', '/location/hud_foreclosure_area', '/periodicals/newspaper_circulation_area']"", '?b': ""['/location/location', '/location/citytown', '/location/hud_county_place', '/location/dated_location', '/location/statistical_region', '/location/hud_foreclosure_area', '/periodicals/newspaper_circulation_area']"", '?a': ""['/geography/river', '/geography/body_of_water', '/geography/geographical_feature', '/location/location']""}"
?e  771  ?b  ?e  772  ?a   => ?a  771  ?b,0.192076937,1.0,1.0,4354,4354,4354,?a,57882106 771 157031 96464248 772 73366969 => 9192149 771 157027,?e /biology/gene_ontology_group/group_type ?b ?e /biology/gene_ontology_group/part_group ?a => ?a /biology/gene_ontology_group/group_type ?b,6-aminohexanoate transaminase activity /biology/gene_ontology_group/group_type Molecular function 96464248 /biology/gene_ontology_group/part_group 73366969 => protein targeting to ER /biology/gene_ontology_group/group_type Biological process,"{'?e': ""['/biology/gene_group', '/biology/gene_ontology_group']"", '?b': ""['/biology/gene_ontology_group_type']"", '?a': ""['/biology/gene_group', '/biology/gene_ontology_group']""}"
?a  176  ?f  ?f  838  ?b   => ?a  838  ?b,0.1875,1.0,1.0,24,24,24,?b,75878578 176 24430784 19657603 838 54500593 => 19657603 838 54500593,?a /education/educational_institution/campuses ?f ?f /award/ranked_list_compiler/ranked_lists ?b => ?a /award/ranked_list_compiler/ranked_lists ?b,Manchuria Mission College /education/educational_institution/campuses Manchuria Mission College\ main campus American Film Institute /award/ranked_list_compiler/ranked_lists AFI's 100 Years...100 Stars => American Film Institute /award/ranked_list_compiler/ranked_lists AFI's 100 Years...100 Stars,"{'?a': ""['/business/employer', '/education/university', '/award/ranked_list_compiler', '/film/film_festival_sponsor', '/organization/membership_organization', '/film/film_screening_venue', '/award/award_presenting_organization', '/organization/organization', '/book/book_subject', '/book/author', '/education/educational_institution_campus', '/location/location', '/education/educational_institution']"", '?f': ""['/business/employer', '/education/university', '/award/ranked_list_compiler', '/film/film_festival_sponsor', '/organization/membership_organization', '/film/film_screening_venue', '/award/award_presenting_organization', '/organization/organization', '/book/book_subject', '/book/author', '/education/educational_institution_campus', '/location/location', '/education/educational_institution']"", '?b': ""['/tv/tv_series_episode', '/award/ranked_list', '/award/award_nominated_work']""}"
?e  176  ?a  ?e  838  ?b   => ?a  838  ?b,0.1875,1.0,1.0,24,24,24,?b,75878578 176 24430784 19657603 838 54500593 => 19657603 838 54500593,?e /education/educational_institution/campuses ?a ?e /award/ranked_list_compiler/ranked_lists ?b => ?a /award/ranked_list_compiler/ranked_lists ?b,Manchuria Mission College /education/educational_institution/campuses Manchuria Mission College\ main campus American Film Institute /award/ranked_list_compiler/ranked_lists AFI's 100 Years...100 Stars => American Film Institute /award/ranked_list_compiler/ranked_lists AFI's 100 Years...100 Stars,"{'?e': ""['/business/employer', '/education/university', '/award/ranked_list_compiler', '/film/film_festival_sponsor', '/organization/membership_organization', '/film/film_screening_venue', '/award/award_presenting_organization', '/organization/organization', '/book/book_subject', '/book/author', '/education/educational_institution_campus', '/location/location', '/education/educational_institution']"", '?a': ""['/business/employer', '/education/university', '/award/ranked_list_compiler', '/film/film_festival_sponsor', '/organization/membership_organization', '/film/film_screening_venue', '/award/award_presenting_organization', '/organization/organization', '/book/book_subject', '/book/author', '/education/educational_institution_campus', '/location/location', '/education/educational_institution']"", '?b': ""['/tv/tv_series_episode', '/award/ranked_list', '/award/award_nominated_work']""}"
?e  2118  ?b  ?a  2441  ?e   => ?a  2259  ?b,0.497297297,1.0,1.0,92,92,92,?b,26905897 2118 6851987 26905895 2441 26905897 => 56937202 2259 56937213,?e /medicine/survival_rate/disease_stage ?b ?a /medicine/disease/survival_rates ?e => ?a /medicine/disease/stages ?b,26905897 /medicine/survival_rate/disease_stage Stage III Papillary thyroid cancer Thyroid cancer /medicine/disease/survival_rates 26905897 => Small Cell Lung Carcinoma /medicine/disease/stages Stage I Small Cell Lung Cancer,"{'?b': ""['/medicine/disease_stage']"", '?a': ""['/medicine/disease']""}"
?f  1818  ?b  ?a  286  ?f   => ?a  1818  ?b,0.580882353,1.0,1.0,158,158,158,?b,31307489 1818 8548018 61782021 286 61782021 => 83208622 1818 16343681,?f /tv/tv_location/tv_episodes_filmed_here ?b ?a /location/hud_county_place/place ?f => ?a /tv/tv_location/tv_episodes_filmed_here ?b,Old Billingsgate Market /tv/tv_location/tv_episodes_filmed_here Invasion of the Dinosaurs\ Part One 61782021 /location/hud_county_place/place 61782021 => Quincy /tv/tv_location/tv_episodes_filmed_here Concerned Women for America - Gloria Hodges,"{'?f': ""['/architecture/structure', '/projects/project_focus', '/tv/tv_location', '/location/location', '/protected_sites/listed_site']"", '?b': ""['/tv/tv_series_episode']"", '?a': ""['/location/dated_location', '/tv/tv_location', '/location/statistical_region', '/tv/tv_subject', '/location/citytown', '/location/hud_county_place', '/periodicals/newspaper_circulation_area', '/location/capital_of_administrative_division', '/location/location', '/location/hud_foreclosure_area']""}"
?e  1818  ?b  ?e  286  ?a   => ?a  1818  ?b,0.580882353,1.0,1.0,158,158,158,?b,31307489 1818 8548018 61782021 286 61782021 => 83208622 1818 16343681,?e /tv/tv_location/tv_episodes_filmed_here ?b ?e /location/hud_county_place/place ?a => ?a /tv/tv_location/tv_episodes_filmed_here ?b,Old Billingsgate Market /tv/tv_location/tv_episodes_filmed_here Invasion of the Dinosaurs\ Part One 61782021 /location/hud_county_place/place 61782021 => Quincy /tv/tv_location/tv_episodes_filmed_here Concerned Women for America - Gloria Hodges,"{'?e': ""['/architecture/structure', '/projects/project_focus', '/tv/tv_location', '/location/location', '/protected_sites/listed_site']"", '?b': ""['/tv/tv_series_episode']"", '?a': ""['/location/dated_location', '/tv/tv_location', '/location/statistical_region', '/tv/tv_subject', '/location/citytown', '/location/hud_county_place', '/periodicals/newspaper_circulation_area', '/location/capital_of_administrative_division', '/location/location', '/location/hud_foreclosure_area']""}"
?a  237  ?f  ?f  934  ?b   => ?a  934  ?b,0.168230563,0.978557505,1.0,502,513,502,?a,52505251 237 20023849 30783875 934 88628169 => 30783875 934 88628169,?a /tv/tv_series_episode/previous_episode ?f ?f /award/competition/instance_of_recurring_competition ?b => ?a /award/competition/instance_of_recurring_competition ?b,Murray And Me /tv/tv_series_episode/previous_episode Memoirs Of A Chaise Longue Episode #1.14 /award/competition/instance_of_recurring_competition Deal or No Deal => Episode #1.14 /award/competition/instance_of_recurring_competition Deal or No Deal,"{'?a': ""['/tv/tv_series_episode', '/award/competition', '/time/event']"", '?f': ""['/tv/tv_series_episode', '/award/competition', '/time/event']"", '?b': ""['/award/recurring_competition', '/time/recurring_event', '/award/award_nominated_work', '/award/award_winning_work', '/tv/tv_program']""}"
?e  286  ?b  ?a  648  ?e   => ?a  648  ?b,0.338007968,1.0,1.0,4242,4242,4242,?b,28727806 286 28727806 85799609 648 83222036 => 85799609 648 83222036,?e /location/hud_county_place/place ?b ?a /transportation/road/major_cities ?e => ?a /transportation/road/major_cities ?b,Douglassville /location/hud_county_place/place Douglassville K-10 /transportation/road/major_cities Lawrence => K-10 /transportation/road/major_cities Lawrence,"{'?e': ""['/location/hud_foreclosure_area', '/government/governmental_jurisdiction', '/sports/sports_team_location', '/location/location', '/location/hud_county_place', '/film/film_location', '/location/statistical_region', '/location/capital_of_administrative_division', '/periodicals/newspaper_circulation_area', '/location/citytown', '/location/dated_location', '/organization/organization_scope', '/travel/travel_destination', '/fictional_universe/fictional_setting']"", '?b': ""['/location/hud_foreclosure_area', '/government/governmental_jurisdiction', '/sports/sports_team_location', '/location/location', '/location/hud_county_place', '/film/film_location', '/location/statistical_region', '/location/capital_of_administrative_division', '/periodicals/newspaper_circulation_area', '/location/citytown', '/location/dated_location', '/organization/organization_scope', '/travel/travel_destination', '/fictional_universe/fictional_setting']"", '?a': ""['/location/location', '/transportation/road']""}"
?e  237  ?a  ?e  934  ?b   => ?a  934  ?b,0.168230563,0.984313725,1.0,502,510,502,?a,52505251 237 20023849 30783875 934 88628169 => 30783875 934 88628169,?e /tv/tv_series_episode/previous_episode ?a ?e /award/competition/instance_of_recurring_competition ?b => ?a /award/competition/instance_of_recurring_competition ?b,Murray And Me /tv/tv_series_episode/previous_episode Memoirs Of A Chaise Longue Episode #1.14 /award/competition/instance_of_recurring_competition Deal or No Deal => Episode #1.14 /award/competition/instance_of_recurring_competition Deal or No Deal,"{'?e': ""['/tv/tv_series_episode', '/award/competition', '/time/event']"", '?a': ""['/tv/tv_series_episode', '/award/competition', '/time/event']"", '?b': ""['/award/recurring_competition', '/time/recurring_event', '/award/award_nominated_work', '/award/award_winning_work', '/tv/tv_program']""}"
?f  1099  ?b  ?a  286  ?f   => ?a  1099  ?b,0.467486819,1.0,1.0,532,532,532,?b,17581721 1099 17581883 14208489 286 14208489 => 17581721 1099 17581883,?f /government/governmental_jurisdiction/government_positions ?b ?a /location/hud_county_place/place ?f => ?a /government/governmental_jurisdiction/government_positions ?b,Banning /government/governmental_jurisdiction/government_positions Mayor of Banning 14208489 /location/hud_county_place/place 14208489 => Banning /government/governmental_jurisdiction/government_positions Mayor of Banning,"{'?f': ""['/location/statistical_region', '/government/governmental_jurisdiction', '/location/hud_foreclosure_area', '/location/citytown', '/location/dated_location', '/location/hud_county_place', '/travel/travel_destination', '/location/location', '/symbols/namesake']"", '?b': ""['/government/government_office_or_title']"", '?a': ""['/location/statistical_region', '/government/governmental_jurisdiction', '/location/hud_foreclosure_area', '/location/citytown', '/location/dated_location', '/location/hud_county_place', '/travel/travel_destination', '/location/location', '/symbols/namesake']""}"
?a  1749  ?f  ?f  2172  ?b   => ?a  849  ?b,0.167315175,0.977272727,1.0,43,44,43,?a,84832240 1749 41551714 41551714 2172 71634862 => 37500490 849 12930607,?a /baseball/baseball_team/division ?f ?f /baseball/baseball_division/league ?b => ?a /baseball/baseball_team/league ?b,Montreal Expos /baseball/baseball_team/division American League East American League East /baseball/baseball_division/league 71634862 => St. Louis Cardinals /baseball/baseball_team/league National League,"{'?a': ""['/book/book_subject', '/baseball/baseball_team', '/business/employer', '/sports/sports_team', '/sports/professional_sports_team', '/sports/sports_team_owner', '/organization/organization', '/award/award_nominee']"", '?f': ""['/baseball/baseball_division', '/business/employer', '/sports/sports_league', '/organization/organization']"", '?b': ""['/baseball/baseball_league', '/organization/organization', '/sports/sports_league', '/business/employer']""}"
?e  769  ?a  ?e  771  ?b   => ?a  771  ?b,0.351199929,1.0,1.0,7961,7961,7961,?a,90876282 769 26964206 57882106 771 157031 => 73366935 771 157031,?e /biology/gene_ontology_group/broader_group ?a ?e /biology/gene_ontology_group/group_type ?b => ?a /biology/gene_ontology_group/group_type ?b,membrane lipid catabolic process /biology/gene_ontology_group/broader_group membrane lipid metabolic process 6-aminohexanoate transaminase activity /biology/gene_ontology_group/group_type Molecular function => anion-transporting ATPase activity /biology/gene_ontology_group/group_type Molecular function,"{'?e': ""['/biology/gene_group', '/biology/gene_ontology_group']"", '?a': ""['/biology/gene_group', '/biology/gene_ontology_group']"", '?b': ""['/biology/gene_ontology_group_type']""}"
?e  286  ?b  ?a  653  ?e   => ?a  653  ?b,0.459473824,1.0,1.0,1729,1729,1729,?a,28727806 286 28727806 59964524 653 39460384 => 59964524 653 39460384,?e /location/hud_county_place/place ?b ?a /broadcast/radio_station/serves_area ?e => ?a /broadcast/radio_station/serves_area ?b,Douglassville /location/hud_county_place/place Douglassville WBYR /broadcast/radio_station/serves_area Fort Wayne => WBYR /broadcast/radio_station/serves_area Fort Wayne,"{'?e': ""['/location/hud_county_place', '/location/dated_location', '/location/hud_foreclosure_area', '/organization/organization_scope', '/sports/sports_team_location', '/location/citytown', '/periodicals/newspaper_circulation_area', '/government/governmental_jurisdiction', '/symbols/namesake', '/location/statistical_region', '/location/location', '/location/capital_of_administrative_division', '/travel/travel_destination']"", '?b': ""['/location/hud_county_place', '/location/dated_location', '/location/hud_foreclosure_area', '/organization/organization_scope', '/sports/sports_team_location', '/location/citytown', '/periodicals/newspaper_circulation_area', '/government/governmental_jurisdiction', '/symbols/namesake', '/location/statistical_region', '/location/location', '/location/capital_of_administrative_division', '/travel/travel_destination']"", '?a': ""['/broadcast/radio_station', '/broadcast/broadcast']""}"
?a  176  ?f  ?f  556  ?b   => ?a  556  ?b,0.270507188,0.996982632,0.999336087,13547,13588,13556,?a,75878578 176 24430784 80186693 556 162613 => 80186693 556 162613,?a /education/educational_institution/campuses ?f ?f /education/educational_institution/school_type ?b => ?a /education/educational_institution/school_type ?b,Manchuria Mission College /education/educational_institution/campuses Manchuria Mission College\ main campus Thomas Bennett Community College /education/educational_institution/school_type Comprehensive school => Thomas Bennett Community College /education/educational_institution/school_type Comprehensive school,"{'?a': ""['/location/location', '/education/school', '/education/educational_institution', '/education/educational_institution_campus', '/organization/organization', '/business/employer']"", '?f': ""['/location/location', '/education/school', '/education/educational_institution', '/education/educational_institution_campus', '/organization/organization', '/business/employer']"", '?b': ""['/education/school_category']""}"
?b  176  ?f  ?a  991  ?f   => ?a  991  ?b,0.373333333,1.0,1.0,56,56,56,?b,75878578 176 24430784 60831488 991 96080063 => 60831488 991 96080063,?b /education/educational_institution/campuses ?f ?a /medicine/cancer_center/constituents ?f => ?a /medicine/cancer_center/constituents ?b,Manchuria Mission College /education/educational_institution/campuses Manchuria Mission College\ main campus Alvin J. Siteman Cancer Center /medicine/cancer_center/constituents Washington University School of Medicine => Alvin J. Siteman Cancer Center /medicine/cancer_center/constituents Washington University School of Medicine,"{'?b': ""['/education/university', '/education/educational_institution_campus', '/medicine/cancer_center_constituent', '/education/educational_institution', '/award/ranked_item', '/book/author', '/organization/organization', '/location/location', '/business/employer']"", '?f': ""['/education/university', '/education/educational_institution_campus', '/medicine/cancer_center_constituent', '/education/educational_institution', '/award/ranked_item', '/book/author', '/organization/organization', '/location/location', '/business/employer']"", '?a': ""['/medicine/cancer_center', '/organization/organization', '/medicine/hospital']""}"
?a  1394  ?f  ?f  1963  ?b   => ?a  1395  ?b,0.922535211,0.97037037,1.0,131,135,131,?a,37522961 1394 18964926 64214044 1963 76690350 => 93249713 1395 92297044,?a /film/content_rating/film_rating_system ?f ?f /film/content_rating_system/jurisdiction ?b => ?a /film/content_rating/country ?b,A /film/content_rating/film_rating_system Canadian Home Video Rating System 64214044 /film/content_rating_system/jurisdiction 76690350 => BO /film/content_rating/country Indonesia,"{'?a': ""['/film/content_rating']"", '?f': ""['/film/content_rating_system']"", '?b': ""['/film/film_subject', '/organization/organization_member', '/organization/organization_founder', '/olympics/olympic_participating_country', '/location/region', '/organization/organization_scope', '/film/film_location', '/location/location', '/location/country', '/symbols/flag_referent', '/book/book_subject', '/government/government', '/meteorology/cyclone_affected_area', '/military/military_combatant', '/sports/sports_team_location', '/biology/breed_origin', '/periodicals/newspaper_circulation_area', '/sports/sport_country', '/location/dated_location', '/government/governmental_jurisdiction', '/travel/travel_destination', '/location/statistical_region']""}"
?a  1394  ?f  ?f  205  ?b   => ?a  1395  ?b,0.225352113,1.0,1.0,32,32,32,?a,37522961 1394 18964926 31257389 205 73000083 => 66361620 1395 73000083,?a /film/content_rating/film_rating_system ?f ?f /government/government_agency/jurisdiction ?b => ?a /film/content_rating/country ?b,A /film/content_rating/film_rating_system Canadian Home Video Rating System 31257389 /government/government_agency/jurisdiction New Zealand => PG /film/content_rating/country New Zealand,"{'?a': ""['/cvg/computer_game_rating', '/film/content_rating']"", '?f': ""['/film/content_rating_system']"", '?b': ""['/government/governmental_jurisdiction', '/tv/tv_location', '/sports/sport_country', '/location/country', '/symbols/coat_of_arms_bearer', '/meteorology/cyclone_affected_area', '/business/business_location', '/military/military_unit_place_of_origin', '/organization/contact_category', '/symbols/flag_referent', '/fictional_universe/fictional_setting', '/organization/organization_founder', '/sports/sports_team_location', '/biology/breed_origin', '/location/statistical_region', '/business/employer', '/travel/travel_destination', '/organization/organization_member', '/olympics/olympic_participating_country', '/film/film_location', '/location/administrative_division', '/location/location', '/book/book_subject', '/military/military_combatant', '/organization/organization_scope', '/royalty/kingdom', '/periodicals/newspaper_circulation_area', '/location/dated_location', '/organization/organization_sector', '/food/beer_country_region']""}"
?a  1394  ?f  ?f  206  ?b   => ?a  1395  ?b,0.204225352,1.0,1.0,29,29,29,?a,37522961 1394 18964926 31469504 206 11014345 => 33021312 1395 11014345,?a /film/content_rating/film_rating_system ?f ?f /organization/organization/geographic_scope ?b => ?a /film/content_rating/country ?b,A /film/content_rating/film_rating_system Canadian Home Video Rating System 31469504 /organization/organization/geographic_scope Netherlands => Kijkwijzer: AL /film/content_rating/country Netherlands,"{'?a': ""['/cvg/computer_game_rating', '/film/content_rating']"", '?f': ""['/film/content_rating_system']"", '?b': ""['/organization/organization_founder', '/organization/organization_scope', '/business/employer', '/location/dated_location', '/royalty/kingdom', '/sports/sport_country', '/location/location', '/food/beer_country_region', '/cvg/computer_game_region', '/sports/sports_team_location', '/business/business_location', '/book/book_subject', '/organization/organization_member', '/biology/breed_origin', '/location/administrative_division', '/media_common/netflix_genre', '/location/statistical_region', '/symbols/flag_referent', '/military/military_combatant', '/film/film_location', '/government/governmental_jurisdiction', '/organization/contact_category', '/periodicals/newspaper_circulation_area', '/symbols/name_source', '/location/country', '/olympics/olympic_participating_country']""}"
?a  1162  ?f  ?f  286  ?b   => ?a  1162  ?b,0.196581197,1.0,1.0,23,23,23,?a,69146914 1162 73361903 8690838 286 8690838 => 68288145 1162 97689249,?a /biology/deceased_organism/place_of_death ?f ?f /location/hud_county_place/place ?b => ?a /biology/deceased_organism/place_of_death ?b,Otto /biology/deceased_organism/place_of_death Shrewsbury 8690838 /location/hud_county_place/place 8690838 => Honey Tree Evil Eye /biology/deceased_organism/place_of_death North Riverside,"{'?a': ""['/biology/organism', '/biology/deceased_organism']"", '?f': ""['/location/citytown', '/sports/sports_team_location', '/location/statistical_region', '/location/location', '/travel/travel_destination', '/location/dated_location']"", '?b': ""['/location/hud_county_place', '/location/statistical_region', '/location/location', '/location/citytown', '/location/dated_location', '/location/hud_foreclosure_area']""}"
?a  1386  ?f  ?b  6  ?f   => ?a  1385  ?b,0.958074534,0.996768982,0.996768982,617,619,619,?a,47313301 1386 41549934 90880275 6 71012749 => 93883518 1385 67811689,?a /award/long_list_nomination/nominated_work ?f ?b /book/author/works_written ?f => ?a /award/long_list_nomination/nominee ?b,47313301 /award/long_list_nomination/nominated_work The ABC Afternoon Playbreak 90880275 /book/author/works_written 71012749 => 93883518 /award/long_list_nomination/nominee Michael Capobianco,"{'?f': ""['/tv/tv_program', '/award/award_winning_work', '/award/award_nominated_work', '/award/long_listed_work']"", '?b': ""['/award/long_list_nominee', '/book/author', '/people/person']""}"
?f  1071  ?b  ?a  286  ?f   => ?a  1071  ?b,0.187214612,1.0,1.0,82,82,82,?b,79035099 1071 83319301 60164786 286 60164786 => 3156491 1071 56942012,?f /travel/travel_destination/how_to_get_here ?b ?a /location/hud_county_place/place ?f => ?a /travel/travel_destination/how_to_get_here ?b,Worldwide /travel/travel_destination/how_to_get_here Resorthoppa 60164786 /location/hud_county_place/place 60164786 => Miami /travel/travel_destination/how_to_get_here 56942012,"{'?f': ""['/travel/travel_destination', '/location/location']"", '?b': ""['/organization/organization', '/business/consumer_company', '/travel/transportation', '/business/business_operation', '/travel/transport_operator', '/business/brand']"", '?a': ""['/rail/railway_terminus', '/tv/tv_location', '/government/governmental_jurisdiction', '/periodicals/newspaper_circulation_area', '/location/hud_county_place', '/location/place_with_neighborhoods', '/location/hud_foreclosure_area', '/film/film_location', '/travel/travel_destination', '/location/citytown', '/location/location', '/sports/sports_team_location', '/location/dated_location', '/location/statistical_region', '/organization/organization_scope', '/fictional_universe/fictional_setting']""}"
?e  1071  ?b  ?e  286  ?a   => ?a  1071  ?b,0.187214612,1.0,1.0,82,82,82,?b,79035099 1071 83319301 60164786 286 60164786 => 3156491 1071 56942012,?e /travel/travel_destination/how_to_get_here ?b ?e /location/hud_county_place/place ?a => ?a /travel/travel_destination/how_to_get_here ?b,Worldwide /travel/travel_destination/how_to_get_here Resorthoppa 60164786 /location/hud_county_place/place 60164786 => Miami /travel/travel_destination/how_to_get_here 56942012,"{'?e': ""['/travel/travel_destination', '/location/location']"", '?b': ""['/organization/organization', '/business/consumer_company', '/travel/transportation', '/business/business_operation', '/travel/transport_operator', '/business/brand']"", '?a': ""['/rail/railway_terminus', '/tv/tv_location', '/government/governmental_jurisdiction', '/periodicals/newspaper_circulation_area', '/location/hud_county_place', '/location/place_with_neighborhoods', '/location/hud_foreclosure_area', '/film/film_location', '/travel/travel_destination', '/location/citytown', '/location/location', '/sports/sports_team_location', '/location/dated_location', '/location/statistical_region', '/organization/organization_scope', '/fictional_universe/fictional_setting']""}"
?e  286  ?b  ?a  286  ?e   => ?a  286  ?b,0.922916345,1.0,1.0,23874,23874,23874,?a,28727806 286 28727806 28727806 286 28727806 => 28727806 286 28727806,?e /location/hud_county_place/place ?b ?a /location/hud_county_place/place ?e => ?a /location/hud_county_place/place ?b,Douglassville /location/hud_county_place/place Douglassville Douglassville /location/hud_county_place/place Douglassville => Douglassville /location/hud_county_place/place Douglassville,"{'?e': ""['/location/statistical_region', '/location/dated_location', '/location/citytown', '/location/hud_county_place', '/location/location', '/location/hud_foreclosure_area']"", '?b': ""['/location/statistical_region', '/location/dated_location', '/location/citytown', '/location/hud_county_place', '/location/location', '/location/hud_foreclosure_area']"", '?a': ""['/location/statistical_region', '/location/dated_location', '/location/citytown', '/location/hud_county_place', '/location/location', '/location/hud_foreclosure_area']""}"
?e  1369  ?b  ?e  847  ?a   => ?a  1369  ?b,0.17311609,0.934065934,1.0,85,91,85,?a,63626666 1369 1891129 98043677 847 83432533 => 76291731 1369 2566796,?e /medicine/drug/physiologic_effect ?b ?e /medicine/drug_ingredient/more_general_ingredient ?a => ?a /medicine/drug/physiologic_effect ?b,Allantoin/Lidocaine /medicine/drug/physiologic_effect Local anesthesia Prasugrel hydrochloride /medicine/drug_ingredient/more_general_ingredient Prasugrel => Olopatadine /medicine/drug/physiologic_effect Decreased Histamine Release,"{'?e': ""['/medicine/drug', '/medicine/drug_ingredient']"", '?b': ""['/medicine/drug_physiologic_effect']"", '?a': ""['/medicine/drug_ingredient', '/medicine/drug', '/medicine/medical_treatment', '/chemistry/chemical_compound']""}"
?f  286  ?a  ?b  286  ?f   => ?a  286  ?b,0.922877687,0.999958113,0.999958113,23873,23874,23874,?a,28727806 286 28727806 28727806 286 28727806 => 28727806 286 28727806,?f /location/hud_county_place/place ?a ?b /location/hud_county_place/place ?f => ?a /location/hud_county_place/place ?b,Douglassville /location/hud_county_place/place Douglassville Douglassville /location/hud_county_place/place Douglassville => Douglassville /location/hud_county_place/place Douglassville,"{'?f': ""['/location/statistical_region', '/location/dated_location', '/location/citytown', '/location/hud_county_place', '/location/location', '/location/hud_foreclosure_area']"", '?a': ""['/location/statistical_region', '/location/dated_location', '/location/citytown', '/location/hud_county_place', '/location/location', '/location/hud_foreclosure_area']"", '?b': ""['/location/statistical_region', '/location/dated_location', '/location/citytown', '/location/hud_county_place', '/location/location', '/location/hud_foreclosure_area']""}"
?e  847  ?a  ?e  965  ?b   => ?a  965  ?b,0.23216885,0.932748538,0.996875,319,342,320,?a,98043677 847 83432533 63780683 965 33413140 => 18465654 965 10026032,?e /medicine/drug_ingredient/more_general_ingredient ?a ?e /medicine/drug/mechanism_of_action ?b => ?a /medicine/drug/mechanism_of_action ?b,Prasugrel hydrochloride /medicine/drug_ingredient/more_general_ingredient Prasugrel 63780683 /medicine/drug/mechanism_of_action 33413140 => Epinastine /medicine/drug/mechanism_of_action Adrenergic agonist,"{'?e': ""['/medicine/drug', '/medicine/drug_ingredient']"", '?a': ""['/medicine/medical_treatment', '/medicine/drug', '/medicine/drug_ingredient']"", '?b': ""['/medicine/drug_class', '/medicine/drug_mechanism_of_action']""}"
?a  769  ?f  ?f  771  ?b   => ?a  771  ?b,0.999779425,1.0,1.0,22663,22663,22663,?a,90876282 769 26964206 73366935 771 157031 => 57882106 771 157031,?a /biology/gene_ontology_group/broader_group ?f ?f /biology/gene_ontology_group/group_type ?b => ?a /biology/gene_ontology_group/group_type ?b,membrane lipid catabolic process /biology/gene_ontology_group/broader_group membrane lipid metabolic process anion-transporting ATPase activity /biology/gene_ontology_group/group_type Molecular function => 6-aminohexanoate transaminase activity /biology/gene_ontology_group/group_type Molecular function,"{'?a': ""['/biology/gene_group', '/biology/gene_ontology_group']"", '?f': ""['/biology/gene_group', '/biology/gene_ontology_group']"", '?b': ""['/biology/gene_ontology_group_type']""}"
?f  640  ?b  ?a  896  ?f   => ?a  640  ?b,0.239144524,0.943734015,0.997297297,369,391,370,?a,83850004 640 155833 9238108 896 96955046 => 83406211 640 245339,?f /government/election/office ?b ?a /government/primary_election/follow_on_election ?f => ?a /government/election/office ?b,Australian federal election\1974 /government/election/office Prime Minister of Australia 9238108 /government/primary_election/follow_on_election 96955046 => 2008 Libertarian Primary\ California’s 77th Assembly District /government/election/office California State Assembly member,"{'?f': ""['/government/election', '/government/general_election', '/time/event']"", '?b': ""['/government/government_office_or_title']"", '?a': ""['/government/election', '/government/primary_election', '/time/event']""}"
