id,rule,Instances
54608,?e 14 ?b ?e 17 ?a => ?a 8 ?b,18859 14 20271 18859 17 19628 => 19628 8 20271
54609,?e 17 ?a ?b 31 ?e => ?a 8 ?b,<NA>
54610,?b 14 ?f ?f 39 ?a => ?a 8 ?b,<NA>
54611,?b 13 ?e ?e 17 ?a => ?a 8 ?b,<NA>
54612,?e 17 ?a ?e 31 ?b => ?a 8 ?b,<NA>
54613,?e 13 ?b ?e 17 ?a => ?a 8 ?b,<NA>
54614,?e 11 ?b ?e 5 ?a => ?a 8 ?b,19610 11 20501 19610 5 19441 => 19441 8 20501
54615,?e 11 ?b ?a 5 ?e => ?a 8 ?b,19610 11 20501 18879 5 19610 => 18879 8 20501
54616,?b 10 ?f ?a 20 ?f => ?a 12 ?b,19715 10 20536 19380 20 20536 => 19380 12 19715
54617,?a 20 ?f ?b 3 ?f => ?a 12 ?b,19084 20 20047 19124 3 20047 => 19084 12 19124
54618,?a 20 ?f ?b 30 ?f => ?a 12 ?b,19084 20 20047 19241 30 20047 => 19084 12 19241
54619,?b 12 ?f ?a 20 ?f => ?a 12 ?b,20555 12 19354 19383 20 19354 => 19383 12 20555
54620,?a 20 ?f ?b 33 ?f => ?a 12 ?b,<NA>
54621,?a 20 ?f ?b 4 ?f => ?a 12 ?b,19084 20 20047 18879 4 20047 => 19084 12 18879
54622,?b 17 ?f ?a 20 ?f => ?a 12 ?b,<NA>
54623,?b 18 ?f ?a 20 ?f => ?a 12 ?b,<NA>
54624,?a 20 ?f ?b 8 ?f => ?a 12 ?b,<NA>
54625,?a 20 ?f ?b 39 ?f => ?a 12 ?b,19084 20 20047 19178 39 20047 => 19084 12 19178
54626,?a 20 ?f ?b 5 ?f => ?a 12 ?b,19084 20 20047 19511 5 20047 => 19084 12 19511
54627,?e 11 ?b ?a 11 ?e => ?a 8 ?b,<NA>
54628,?b 11 ?f ?a 20 ?f => ?a 12 ?b,<NA>
54629,?b 2 ?f ?a 20 ?f => ?a 12 ?b,19143 2 19024 19795 20 19024 => 19795 12 19143
54630,?e 11 ?a ?e 11 ?b => ?a 8 ?b,<NA>
54631,?a 20 ?f ?b 38 ?f => ?a 12 ?b,19084 20 20047 18902 38 20047 => 19084 12 18902
54632,?b 14 ?f ?f 5 ?a => ?a 8 ?b,<NA>
54633,?a 20 ?f ?b 22 ?f => ?a 12 ?b,<NA>
54634,?b 14 ?f ?a 5 ?f => ?a 8 ?b,<NA>
54635,?b 14 ?f ?a 20 ?f => ?a 12 ?b,20125 14 19973 20506 20 19973 => 20506 12 20125
54636,?b 19 ?f ?a 20 ?f => ?a 12 ?b,<NA>
54637,?a 20 ?f ?b 31 ?f => ?a 12 ?b,19084 20 20047 20507 31 20047 => 19084 12 20507
54638,?e 11 ?b ?e 22 ?a => ?a 8 ?b,19610 11 20501 19610 22 19237 => 19237 8 20501
54639,?a 20 ?f ?b 23 ?f => ?a 12 ?b,<NA>
54640,?b 13 ?f ?a 20 ?f => ?a 12 ?b,19512 13 18927 20601 20 18927 => 20601 12 19512
54641,?a 20 ?f ?b 6 ?f => ?a 12 ?b,<NA>
54642,?a 20 ?f ?f 36 ?b => ?a 12 ?b,<NA>
54643,?a 20 ?f ?f 37 ?b => ?a 12 ?b,19084 20 20047 20047 37 19178 => 19084 12 19178
54644,?f 20 ?b ?a 20 ?f => ?a 12 ?b,19084 20 20047 19777 20 19084 => 19777 12 20047
54645,?f 10 ?b ?a 20 ?f => ?a 12 ?b,<NA>
54646,?a 20 ?f ?f 3 ?b => ?a 12 ?b,19084 20 20047 20047 3 20562 => 19084 12 20562
54647,?a 20 ?f ?f 30 ?b => ?a 12 ?b,19084 20 20047 20047 30 19196 => 19084 12 19196
54648,?e 11 ?b ?a 2 ?e => ?a 8 ?b,<NA>
54649,?e 11 ?b ?e 2 ?a => ?a 8 ?b,19610 11 20501 19610 2 19050 => 19050 8 20501
54650,?a 20 ?f ?f 33 ?b => ?a 12 ?b,19084 20 20047 20047 33 20638 => 19084 12 20638
54651,?a 20 ?f ?f 4 ?b => ?a 12 ?b,19084 20 20047 20047 4 19713 => 19084 12 19713
54652,?e 11 ?b ?a 22 ?e => ?a 8 ?b,19610 11 20501 20125 22 19610 => 20125 8 20501
54653,?f 12 ?b ?a 20 ?f => ?a 12 ?b,<NA>
54654,?a 20 ?f ?f 6 ?b => ?a 12 ?b,<NA>
54655,?f 18 ?b ?a 20 ?f => ?a 12 ?b,20412 18 18864 19471 20 20412 => 19471 12 18864
54656,?f 17 ?b ?a 20 ?f => ?a 12 ?b,<NA>
54657,?a 20 ?f ?f 39 ?b => ?a 12 ?b,19084 20 20047 20047 39 19196 => 19084 12 19196
54658,?f 13 ?b ?a 20 ?f => ?a 12 ?b,<NA>
54659,?a 20 ?f ?f 8 ?b => ?a 12 ?b,<NA>
54660,?a 20 ?f ?f 5 ?b => ?a 12 ?b,19084 20 20047 20047 5 19699 => 19084 12 19699
54661,?f 11 ?b ?a 20 ?f => ?a 12 ?b,19610 11 20501 18917 20 19610 => 18917 12 20501
54662,?f 2 ?b ?a 20 ?f => ?a 12 ?b,<NA>
54663,?f 14 ?b ?a 20 ?f => ?a 12 ?b,18859 14 20271 19585 20 18859 => 19585 12 20271
54664,?a 20 ?f ?f 38 ?b => ?a 12 ?b,19084 20 20047 20047 38 20638 => 19084 12 20638
54665,?f 19 ?b ?a 20 ?f => ?a 12 ?b,<NA>
54666,?a 20 ?f ?f 31 ?b => ?a 12 ?b,19084 20 20047 20047 31 19196 => 19084 12 19196
54667,?a 20 ?f ?f 23 ?b => ?a 12 ?b,19084 20 20047 20047 23 20540 => 19084 12 20540
54668,?a 10 ?e ?e 36 ?b => ?a 12 ?b,<NA>
54669,?a 3 ?e ?e 36 ?b => ?a 12 ?b,<NA>
54670,?a 20 ?f ?f 22 ?b => ?a 12 ?b,<NA>
54671,?a 30 ?e ?e 36 ?b => ?a 12 ?b,20015 30 19196 19196 36 19361 => 20015 12 19361
54672,?a 12 ?e ?e 36 ?b => ?a 12 ?b,18877 12 19795 19795 36 19619 => 18877 12 19619
54673,?a 11 ?e ?e 36 ?b => ?a 12 ?b,<NA>
54674,?a 17 ?e ?e 36 ?b => ?a 12 ?b,<NA>
54675,?a 33 ?e ?e 36 ?b => ?a 12 ?b,<NA>
54676,?a 2 ?e ?e 36 ?b => ?a 12 ?b,20015 2 19231 19231 36 19004 => 20015 12 19004
54677,?e 36 ?b ?a 39 ?e => ?a 12 ?b,19095 36 19050 19598 39 19095 => 19598 12 19050
54678,?a 18 ?e ?e 36 ?b => ?a 12 ?b,20412 18 18864 18864 36 18948 => 20412 12 18948
54679,?a 19 ?e ?e 36 ?b => ?a 12 ?b,18932 19 19044 19044 36 20508 => 18932 12 20508
54680,?e 36 ?b ?a 4 ?e => ?a 12 ?b,<NA>
54681,?e 36 ?b ?e 37 ?a => ?a 12 ?b,19095 36 19050 19095 37 19178 => 19178 12 19050
54682,?a 23 ?e ?e 36 ?b => ?a 12 ?b,19143 23 19124 19124 36 18911 => 19143 12 18911
54683,?e 27 ?a ?e 36 ?b => ?a 12 ?b,<NA>
54684,?e 36 ?b ?a 5 ?e => ?a 12 ?b,<NA>
54685,?e 34 ?a ?e 36 ?b => ?a 12 ?b,20507 34 20505 20507 36 19317 => 20505 12 19317
54686,?e 21 ?a ?e 36 ?b => ?a 12 ?b,<NA>
54687,?e 26 ?a ?e 36 ?b => ?a 12 ?b,<NA>
54688,?a 14 ?e ?e 36 ?b => ?a 12 ?b,<NA>
54689,?e 36 ?b ?a 8 ?e => ?a 12 ?b,19095 36 19050 19647 8 19095 => 19647 12 19050
54690,?e 24 ?a ?e 36 ?b => ?a 12 ?b,<NA>
54691,?e 16 ?a ?e 36 ?b => ?a 12 ?b,19509 16 20515 19509 36 20564 => 20515 12 20564
54692,?e 36 ?b ?a 38 ?e => ?a 12 ?b,<NA>
54693,?e 36 ?b ?e 7 ?a => ?a 12 ?b,<NA>
54694,?e 36 ?b ?e 9 ?a => ?a 12 ?b,20125 36 20556 20125 9 19196 => 19196 12 20556
54695,?e 28 ?a ?e 36 ?b => ?a 12 ?b,20525 28 20540 20525 36 19545 => 20540 12 19545
54696,?e 36 ?a ?e 36 ?b => ?a 12 ?b,<NA>
54697,?a 22 ?e ?e 36 ?b => ?a 12 ?b,<NA>
54698,?e 32 ?a ?e 36 ?b => ?a 12 ?b,<NA>
54699,?e 25 ?a ?e 36 ?b => ?a 12 ?b,19989 25 18930 19989 36 19512 => 18930 12 19512
54700,?e 20 ?a ?e 36 ?b => ?a 12 ?b,<NA>
54701,?a 31 ?e ?e 36 ?b => ?a 12 ?b,<NA>
54702,?a 13 ?e ?e 36 ?b => ?a 12 ?b,19585 13 19715 19715 36 19004 => 19585 12 19004
54703,?e 36 ?b ?a 6 ?e => ?a 12 ?b,<NA>
54704,?e 3 ?a ?e 36 ?b => ?a 12 ?b,19001 3 19325 19001 36 20525 => 19325 12 20525
54705,?e 30 ?a ?e 36 ?b => ?a 12 ?b,<NA>
54706,?e 33 ?a ?e 36 ?b => ?a 12 ?b,<NA>
54707,?e 36 ?b ?e 4 ?a => ?a 12 ?b,<NA>
54708,?e 12 ?a ?e 36 ?b => ?a 12 ?b,18877 12 19795 18877 36 19178 => 19795 12 19178
54709,?e 17 ?a ?e 36 ?b => ?a 12 ?b,<NA>
54710,?e 18 ?a ?e 36 ?b => ?a 12 ?b,<NA>
54711,?e 29 ?a ?e 36 ?b => ?a 12 ?b,19261 29 20072 19261 36 19509 => 20072 12 19509
54712,?e 15 ?a ?e 36 ?b => ?a 12 ?b,19261 15 19619 19261 36 19509 => 19619 12 19509
54713,?e 10 ?a ?e 36 ?b => ?a 12 ?b,<NA>
54714,?f 22 ?b ?a 5 ?f => ?a 8 ?b,<NA>
54715,?e 36 ?b ?e 39 ?a => ?a 12 ?b,19095 36 19050 19095 39 19405 => 19405 12 19050
54716,?e 36 ?b ?e 8 ?a => ?a 12 ?b,19095 36 19050 19095 8 19269 => 19269 12 19050
54717,?e 36 ?b ?e 5 ?a => ?a 12 ?b,<NA>
54718,?e 11 ?a ?e 36 ?b => ?a 12 ?b,<NA>
54719,?e 2 ?a ?e 36 ?b => ?a 12 ?b,<NA>
54720,?e 22 ?a ?e 36 ?b => ?a 12 ?b,<NA>
54721,?e 36 ?b ?e 38 ?a => ?a 12 ?b,<NA>
54722,?f 2 ?b ?a 5 ?f => ?a 8 ?b,<NA>
54723,?e 14 ?a ?e 36 ?b => ?a 12 ?b,<NA>
54724,?e 19 ?a ?e 36 ?b => ?a 12 ?b,<NA>
54725,?e 31 ?a ?e 36 ?b => ?a 12 ?b,19287 31 20599 19287 36 20508 => 20599 12 20508
54726,?e 23 ?a ?e 36 ?b => ?a 12 ?b,19532 23 19529 19532 36 19349 => 19529 12 19349
54727,?e 13 ?a ?e 36 ?b => ?a 12 ?b,<NA>
54728,?e 36 ?b ?e 6 ?a => ?a 12 ?b,19095 36 19050 19095 6 19076 => 19076 12 19050
54729,?f 38 ?b ?a 5 ?f => ?a 8 ?b,<NA>
54730,?e 12 ?a ?e 22 ?b => ?a 8 ?b,<NA>
54731,?f 19 ?b ?a 5 ?f => ?a 8 ?b,<NA>
54732,?e 12 ?a ?e 2 ?b => ?a 8 ?b,<NA>
54733,?e 18 ?a ?e 22 ?b => ?a 8 ?b,20412 18 18864 20412 22 20508 => 18864 8 20508
54734,?e 18 ?a ?e 2 ?b => ?a 8 ?b,20412 18 18864 20412 2 20015 => 18864 8 20015
54735,?e 12 ?a ?e 38 ?b => ?a 8 ?b,<NA>
54736,?b 23 ?f ?a 5 ?f => ?a 8 ?b,<NA>
54737,?f 14 ?b ?a 5 ?f => ?a 8 ?b,<NA>
54738,?e 18 ?a ?e 38 ?b => ?a 8 ?b,20412 18 18864 20412 38 19178 => 18864 8 19178
54739,?f 23 ?b ?a 5 ?f => ?a 8 ?b,<NA>
54740,?b 31 ?f ?a 5 ?f => ?a 8 ?b,<NA>
54741,?e 12 ?a ?e 19 ?b => ?a 8 ?b,<NA>
54742,?f 31 ?b ?a 5 ?f => ?a 8 ?b,<NA>
54743,?b 13 ?f ?a 5 ?f => ?a 8 ?b,<NA>
54744,?e 18 ?a ?e 19 ?b => ?a 8 ?b,20412 18 18864 20412 19 20525 => 18864 8 20525
54745,?f 13 ?b ?a 5 ?f => ?a 8 ?b,<NA>
54746,?e 12 ?a ?e 14 ?b => ?a 8 ?b,<NA>
54747,?e 18 ?a ?b 23 ?e => ?a 8 ?b,20412 18 18864 20524 23 20412 => 18864 8 20524
54748,?e 12 ?a ?b 31 ?e => ?a 8 ?b,<NA>
54749,?e 12 ?a ?e 23 ?b => ?a 8 ?b,<NA>
54750,?e 12 ?a ?b 13 ?e => ?a 8 ?b,<NA>
54751,?a 3 ?e ?e 37 ?b => ?a 12 ?b,<NA>
54752,?e 12 ?a ?e 13 ?b => ?a 8 ?b,<NA>
54753,?e 18 ?a ?e 23 ?b => ?a 8 ?b,20412 18 18864 20412 23 19119 => 18864 8 19119
54754,?a 10 ?e ?e 37 ?b => ?a 12 ?b,19715 10 20536 20536 37 20515 => 19715 12 20515
54755,?e 12 ?a ?e 31 ?b => ?a 8 ?b,<NA>
54756,?a 30 ?e ?e 37 ?b => ?a 12 ?b,<NA>
54757,?e 18 ?a ?b 31 ?e => ?a 8 ?b,20412 18 18864 19095 31 20412 => 18864 8 19095
54758,?e 14 ?b ?e 18 ?a => ?a 8 ?b,<NA>
54759,?a 33 ?e ?e 37 ?b => ?a 12 ?b,19287 33 19170 19170 37 19931 => 19287 12 19931
54760,?a 12 ?e ?e 37 ?b => ?a 12 ?b,<NA>
54761,?b 13 ?e ?e 18 ?a => ?a 8 ?b,<NA>
54762,?e 13 ?b ?e 18 ?a => ?a 8 ?b,19512 13 18927 19512 18 18864 => 18864 8 18927
54763,?e 37 ?b ?a 4 ?e => ?a 12 ?b,19252 37 19383 19241 4 19252 => 19241 12 19383
54764,?e 18 ?a ?e 31 ?b => ?a 8 ?b,20412 18 18864 20412 31 18927 => 18864 8 18927
54765,?e 37 ?b ?a 39 ?e => ?a 12 ?b,19252 37 19383 19335 39 19252 => 19335 12 19383
54766,?a 17 ?e ?e 37 ?b => ?a 12 ?b,19197 17 20503 20503 37 20525 => 19197 12 20525
54767,?e 37 ?b ?a 8 ?e => ?a 12 ?b,19252 37 19383 19222 8 19252 => 19222 12 19383
54768,?a 18 ?e ?e 37 ?b => ?a 12 ?b,<NA>
54769,?e 28 ?a ?e 37 ?b => ?a 12 ?b,19553 28 20510 19553 37 20565 => 20510 12 20565
54770,?e 34 ?a ?e 37 ?b => ?a 12 ?b,<NA>
54771,?e 15 ?a ?e 37 ?b => ?a 12 ?b,19261 15 19619 19261 37 19325 => 19619 12 19325
54772,?e 37 ?b ?a 5 ?e => ?a 12 ?b,19252 37 19383 20053 5 19252 => 20053 12 19383
54773,?e 25 ?a ?e 37 ?b => ?a 12 ?b,<NA>
54774,?e 24 ?a ?e 37 ?b => ?a 12 ?b,19284 24 19390 19284 37 20515 => 19390 12 20515
54775,?e 21 ?a ?e 37 ?b => ?a 12 ?b,<NA>
54776,?e 27 ?a ?e 37 ?b => ?a 12 ?b,20568 27 20562 20568 37 20508 => 20562 12 20508
54777,?e 32 ?a ?e 37 ?b => ?a 12 ?b,<NA>
54778,?e 26 ?a ?e 37 ?b => ?a 12 ?b,18946 26 20515 18946 37 20348 => 20515 12 20348
54779,?e 16 ?a ?e 37 ?b => ?a 12 ?b,19509 16 20515 19509 37 20530 => 20515 12 20530
54780,?e 37 ?b ?e 9 ?a => ?a 12 ?b,19460 37 20348 19460 9 19496 => 19496 12 20348
54781,?e 29 ?a ?e 37 ?b => ?a 12 ?b,19261 29 20072 19261 37 19325 => 20072 12 19325
54782,?a 23 ?e ?e 37 ?b => ?a 12 ?b,<NA>
54783,?e 37 ?b ?e 7 ?a => ?a 12 ?b,<NA>
54784,?e 36 ?a ?e 37 ?b => ?a 12 ?b,19095 36 19050 19095 37 19178 => 19050 12 19178
54785,?e 37 ?a ?e 37 ?b => ?a 12 ?b,<NA>
54786,?e 37 ?b ?a 6 ?e => ?a 12 ?b,19252 37 19383 18906 6 19252 => 18906 12 19383
54787,?a 13 ?e ?e 37 ?b => ?a 12 ?b,19512 13 18927 18927 37 19325 => 19512 12 19325
54788,?e 20 ?a ?e 37 ?b => ?a 12 ?b,19084 20 20047 19084 37 20503 => 20047 12 20503
54789,?a 11 ?e ?e 37 ?b => ?a 12 ?b,<NA>
54790,?a 31 ?e ?e 37 ?b => ?a 12 ?b,20507 31 20047 20047 37 19178 => 20507 12 19178
54791,?a 19 ?e ?e 37 ?b => ?a 12 ?b,<NA>
54792,?a 22 ?e ?e 37 ?b => ?a 12 ?b,18927 22 19441 19441 37 19229 => 18927 12 19229
54793,?e 37 ?b ?a 38 ?e => ?a 12 ?b,19252 37 19383 20579 38 19252 => 20579 12 19383
54794,?a 14 ?e ?e 37 ?b => ?a 12 ?b,<NA>
54795,?a 2 ?e ?e 37 ?b => ?a 12 ?b,<NA>
54796,?e 10 ?a ?e 37 ?b => ?a 12 ?b,<NA>
54797,?a 5 ?f ?b 6 ?f => ?a 8 ?b,<NA>
54798,?e 3 ?a ?e 37 ?b => ?a 12 ?b,<NA>
54799,?e 30 ?a ?e 37 ?b => ?a 12 ?b,20015 30 19196 20015 37 19585 => 19196 12 19585
54800,?e 12 ?a ?b 6 ?e => ?a 8 ?b,<NA>
54801,?a 5 ?f ?f 6 ?b => ?a 8 ?b,<NA>
54802,?e 33 ?a ?e 37 ?b => ?a 12 ?b,<NA>
54803,?b 31 ?f ?f 39 ?a => ?a 8 ?b,<NA>
54804,?e 18 ?a ?b 6 ?e => ?a 8 ?b,20412 18 18864 20595 6 20412 => 18864 8 20595
54805,?e 37 ?b ?e 4 ?a => ?a 12 ?b,<NA>
54806,?e 12 ?a ?e 37 ?b => ?a 12 ?b,<NA>
54807,?e 12 ?a ?e 6 ?b => ?a 8 ?b,<NA>
54808,?e 17 ?a ?e 37 ?b => ?a 12 ?b,19197 17 20503 19197 37 20536 => 20503 12 20536
54809,?e 37 ?b ?e 8 ?a => ?a 12 ?b,<NA>
54810,?e 18 ?a ?e 37 ?b => ?a 12 ?b,<NA>
54811,?e 37 ?b ?e 39 ?a => ?a 12 ?b,<NA>
54812,?e 37 ?b ?e 5 ?a => ?a 12 ?b,<NA>
54813,?e 18 ?a ?e 6 ?b => ?a 8 ?b,<NA>
54814,?e 11 ?a ?e 37 ?b => ?a 12 ?b,19610 11 20501 19610 37 19432 => 20501 12 19432
54815,?e 2 ?a ?e 37 ?b => ?a 12 ?b,<NA>
54816,?e 22 ?a ?e 37 ?b => ?a 12 ?b,<NA>
54817,?e 37 ?b ?e 38 ?a => ?a 12 ?b,<NA>
54818,?e 19 ?a ?e 37 ?b => ?a 12 ?b,<NA>
54819,?e 14 ?a ?e 37 ?b => ?a 12 ?b,<NA>
54820,?e 23 ?a ?e 37 ?b => ?a 12 ?b,19143 23 19124 19143 37 20515 => 19124 12 20515
54821,?e 13 ?a ?e 37 ?b => ?a 12 ?b,<NA>
54822,?e 31 ?a ?e 37 ?b => ?a 12 ?b,<NA>
54823,?e 37 ?b ?e 6 ?a => ?a 12 ?b,19252 37 19383 19252 6 20521 => 20521 12 19383
54824,?e 12 ?a ?b 23 ?e => ?a 8 ?b,<NA>
54825,?b 31 ?f ?f 8 ?a => ?a 8 ?b,19287 31 20599 20599 8 19511 => 19511 8 19287
54826,?b 31 ?f ?f 5 ?a => ?a 8 ?b,<NA>
54827,?e 22 ?b ?e 8 ?a => ?a 8 ?b,<NA>
54828,?e 2 ?b ?e 8 ?a => ?a 8 ?b,20015 2 19231 20015 8 19024 => 19024 8 19231
54829,?e 38 ?b ?e 8 ?a => ?a 8 ?b,<NA>
54830,?b 23 ?f ?f 8 ?a => ?a 8 ?b,<NA>
54831,?e 19 ?b ?e 8 ?a => ?a 8 ?b,<NA>
54832,?e 23 ?b ?e 8 ?a => ?a 8 ?b,<NA>
54833,?e 22 ?b ?e 39 ?a => ?a 8 ?b,<NA>
54834,?e 31 ?b ?e 8 ?a => ?a 8 ?b,19287 31 20599 19287 8 19545 => 19545 8 20599
54835,?b 13 ?e ?e 8 ?a => ?a 8 ?b,19512 13 18927 18927 8 19152 => 19152 8 19512
54836,?e 13 ?b ?e 8 ?a => ?a 8 ?b,<NA>
54837,?b 10 ?f ?f 15 ?a => ?a 12 ?b,<NA>
54838,?b 10 ?f ?f 37 ?a => ?a 12 ?b,19715 10 20536 20536 37 20515 => 20515 12 19715
54839,?b 10 ?f ?f 11 ?a => ?a 12 ?b,<NA>
54840,?b 10 ?f ?f 28 ?a => ?a 12 ?b,<NA>
54841,?b 10 ?f ?f 12 ?a => ?a 12 ?b,<NA>
54842,?b 10 ?f ?f 26 ?a => ?a 12 ?b,<NA>
54843,?b 10 ?f ?f 32 ?a => ?a 12 ?b,<NA>
54844,?b 10 ?f ?f 25 ?a => ?a 12 ?b,20014 10 20550 20550 25 19323 => 19323 12 20014
54845,?b 10 ?f ?f 34 ?a => ?a 12 ?b,<NA>
54846,?b 10 ?f ?f 29 ?a => ?a 12 ?b,19715 10 20536 20536 29 19196 => 19196 12 19715
54847,?b 10 ?f ?f 21 ?a => ?a 12 ?b,<NA>
54848,?b 10 ?f ?f 16 ?a => ?a 12 ?b,19715 10 20536 20536 16 19057 => 19057 12 19715
54849,?b 10 ?f ?f 24 ?a => ?a 12 ?b,19715 10 20536 20536 24 18948 => 18948 12 19715
54850,?b 10 ?f ?f 9 ?a => ?a 12 ?b,19143 10 19480 19480 9 19124 => 19124 12 19143
54851,?b 10 ?f ?f 7 ?a => ?a 12 ?b,19715 10 20536 20536 7 20525 => 20525 12 19715
54852,?b 10 ?f ?f 27 ?a => ?a 12 ?b,<NA>
54853,?b 10 ?f ?f 20 ?a => ?a 12 ?b,<NA>
54854,?b 10 ?f ?f 38 ?a => ?a 12 ?b,<NA>
54855,?b 6 ?e ?e 8 ?a => ?a 8 ?b,<NA>
54856,?b 10 ?f ?f 2 ?a => ?a 12 ?b,<NA>
54857,?b 10 ?f ?f 36 ?a => ?a 12 ?b,<NA>
54858,?e 6 ?b ?e 8 ?a => ?a 8 ?b,<NA>
54859,?f 10 ?a ?b 10 ?f => ?a 12 ?b,<NA>
54860,?b 10 ?f ?f 14 ?a => ?a 12 ?b,<NA>
54861,?b 10 ?f ?f 3 ?a => ?a 12 ?b,19237 10 20532 20532 3 19178 => 19178 12 19237
54862,?b 10 ?f ?f 30 ?a => ?a 12 ?b,<NA>
54863,?b 10 ?f ?f 31 ?a => ?a 12 ?b,<NA>
54864,?b 10 ?f ?f 19 ?a => ?a 12 ?b,<NA>
54865,?b 10 ?f ?f 23 ?a => ?a 12 ?b,<NA>
54866,?b 10 ?f ?f 33 ?a => ?a 12 ?b,<NA>
54867,?e 22 ?b ?e 5 ?a => ?a 8 ?b,<NA>
54868,?b 10 ?f ?f 17 ?a => ?a 12 ?b,<NA>
54869,?b 10 ?f ?f 13 ?a => ?a 12 ?b,<NA>
54870,?b 10 ?f ?f 39 ?a => ?a 12 ?b,<NA>
54871,?b 10 ?f ?f 4 ?a => ?a 12 ?b,<NA>
54872,?b 10 ?f ?f 6 ?a => ?a 12 ?b,<NA>
54873,?b 10 ?f ?f 18 ?a => ?a 12 ?b,<NA>
54874,?b 10 ?f ?f 5 ?a => ?a 12 ?b,<NA>
54875,?b 10 ?f ?f 8 ?a => ?a 12 ?b,<NA>
54876,?b 23 ?f ?f 5 ?a => ?a 8 ?b,<NA>
54877,?a 11 ?e ?e 22 ?b => ?a 8 ?b,<NA>
54878,?b 10 ?f ?f 22 ?a => ?a 12 ?b,<NA>
54879,?e 11 ?a ?e 22 ?b => ?a 8 ?b,19610 11 20501 19610 22 19237 => 20501 8 19237
54880,?a 10 ?f ?b 10 ?f => ?a 12 ?b,<NA>
54881,?b 10 ?f ?a 3 ?f => ?a 12 ?b,19237 10 20532 19178 3 20532 => 19178 12 19237
54882,?b 10 ?f ?a 30 ?f => ?a 12 ?b,<NA>
54883,?e 22 ?b ?a 22 ?e => ?a 8 ?b,<NA>
54884,?e 24 ?a ?b 6 ?e => ?a 12 ?b,<NA>
54885,?b 13 ?e ?e 24 ?a => ?a 12 ?b,<NA>
54886,?b 23 ?e ?e 24 ?a => ?a 12 ?b,<NA>
54887,?e 24 ?a ?b 31 ?e => ?a 12 ?b,<NA>
54888,?b 14 ?e ?e 24 ?a => ?a 12 ?b,20510 14 19247 19247 24 18969 => 18969 12 20510
54889,?b 19 ?e ?e 24 ?a => ?a 12 ?b,<NA>
54890,?b 10 ?f ?a 33 ?f => ?a 12 ?b,<NA>
54891,?e 24 ?a ?b 38 ?e => ?a 12 ?b,19284 24 19390 18988 38 19284 => 19390 12 18988
54892,?b 2 ?e ?e 24 ?a => ?a 12 ?b,19143 2 19024 19024 24 19229 => 19229 12 19143
54893,?b 22 ?e ?e 24 ?a => ?a 12 ?b,20125 22 20014 20014 24 19610 => 19610 12 20125
54894,?b 11 ?e ?e 24 ?a => ?a 12 ?b,20510 11 19750 19750 24 19024 => 19024 12 20510
54895,?e 22 ?a ?e 22 ?b => ?a 8 ?b,<NA>
54896,?b 12 ?e ?e 24 ?a => ?a 12 ?b,20555 12 19354 19354 24 19767 => 19767 12 20555
54897,?e 24 ?a ?b 5 ?e => ?a 12 ?b,19284 24 19390 19287 5 19284 => 19390 12 19287
54898,?e 24 ?a ?b 39 ?e => ?a 12 ?b,19284 24 19390 19288 39 19284 => 19390 12 19288
54899,?b 18 ?e ?e 24 ?a => ?a 12 ?b,20014 18 19196 19196 24 19405 => 19405 12 20014
54900,?b 17 ?e ?e 24 ?a => ?a 12 ?b,18959 17 18927 18927 24 18887 => 18887 12 18959
54901,?e 24 ?a ?b 8 ?e => ?a 12 ?b,<NA>
54902,?e 24 ?a ?b 4 ?e => ?a 12 ?b,<NA>
54903,?e 24 ?a ?b 3 ?e => ?a 12 ?b,19284 24 19390 20537 3 19284 => 19390 12 20537
54904,?e 24 ?a ?b 33 ?e => ?a 12 ?b,<NA>
54905,?b 10 ?f ?a 12 ?f => ?a 12 ?b,<NA>
54906,?e 24 ?a ?b 30 ?e => ?a 12 ?b,<NA>
54907,?a 2 ?e ?e 22 ?b => ?a 8 ?b,<NA>
54908,?e 13 ?b ?e 24 ?a => ?a 12 ?b,<NA>
54909,?e 23 ?b ?e 24 ?a => ?a 12 ?b,<NA>
54910,?e 24 ?a ?e 31 ?b => ?a 12 ?b,<NA>
54911,?e 24 ?a ?e 6 ?b => ?a 12 ?b,19284 24 19390 19284 6 19545 => 19390 12 19545
54912,?e 22 ?b ?e 24 ?a => ?a 12 ?b,<NA>
54913,?e 19 ?b ?e 24 ?a => ?a 12 ?b,<NA>
54914,?e 2 ?b ?e 24 ?a => ?a 12 ?b,19143 2 19024 19143 24 19935 => 19935 12 19024
54915,?e 11 ?b ?e 24 ?a => ?a 12 ?b,19610 11 20501 19610 24 19511 => 19511 12 20501
54916,?e 14 ?b ?e 24 ?a => ?a 12 ?b,<NA>
54917,?e 24 ?a ?e 38 ?b => ?a 12 ?b,<NA>
54918,?b 10 ?f ?a 4 ?f => ?a 12 ?b,<NA>
54919,?b 10 ?f ?a 17 ?f => ?a 12 ?b,<NA>
54920,?e 20 ?b ?e 24 ?a => ?a 12 ?b,19230 20 20509 19230 24 20515 => 20515 12 20509
54921,?e 24 ?a ?e 5 ?b => ?a 12 ?b,<NA>
54922,?e 10 ?b ?e 24 ?a => ?a 12 ?b,<NA>
54923,?e 24 ?a ?e 3 ?b => ?a 12 ?b,19284 24 19390 19284 3 19085 => 19390 12 19085
